frame,curVScroll,curHScroll,curPpuCtrl,switchNTReq,gameMode,isSprite0Active,demoPhase,demoSubphase,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy
910,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,75,00,01
911,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,74,00,01
912,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,73,00,01
913,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,72,00,01
914,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,71,00,01
915,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,70,00,01
916,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,6F,00,01
917,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,6E,00,01
918,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,6D,00,01
919,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,6C,00,01
920,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,6B,00,01
921,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,6A,00,01
922,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,69,00,01
923,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,68,00,01
924,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,67,00,01
925,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,66,00,01
926,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,65,00,01
927,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,64,00,01
928,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,63,00,01
929,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,62,00,01
930,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,61,00,01
931,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,60,00,01
932,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,5F,00,01
933,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,5E,00,01
934,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,5D,00,01
935,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,5C,00,01
936,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,5B,00,01
937,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,5A,00,01
938,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,59,00,01
939,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,58,00,01
940,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,57,00,01
941,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,56,00,01
942,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,55,00,01
943,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,54,00,01
944,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,53,00,01
945,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,52,00,01
946,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,51,00,01
947,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,50,00,01
948,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,4F,00,01
949,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,4E,00,01
950,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,4D,00,01
951,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,4C,00,01
952,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,4B,00,01
953,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,4A,00,01
954,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,49,00,01
955,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,48,00,01
956,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,47,00,01
957,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,46,00,01
958,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,45,00,01
959,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,44,00,01
960,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,43,00,01
961,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,42,00,01
962,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,41,00,01
963,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,40,00,01
964,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,3F,00,01
965,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,3E,00,01
966,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,3D,00,01
967,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,3C,00,01
968,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,3B,00,01
969,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,3A,00,01
970,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,39,00,01
971,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,38,00,01
972,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,37,00,01
973,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,36,00,01
974,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,35,00,01
975,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,34,00,01
976,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,33,00,01
977,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,32,00,01
978,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,31,00,01
979,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,30,00,01
980,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,2F,00,01
981,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,2E,00,01
982,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,2D,00,01
983,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,2C,00,01
984,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,2B,00,01
985,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,2A,00,01
986,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,29,00,01
987,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,28,00,01
988,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,27,00,01
989,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,26,00,01
990,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,25,00,01
991,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,24,00,01
992,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,23,00,01
993,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,22,00,01
994,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,21,00,01
995,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,20,00,01
996,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,1F,00,01
997,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,1E,00,01
998,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,1D,00,01
999,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,1C,00,01
1000,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,1B,00,01
1001,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,1A,00,01
1002,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,19,00,01
1003,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,18,00,01
1004,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,17,00,01
1005,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,16,00,01
1006,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,15,00,01
1007,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,14,00,01
1008,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,13,00,01
1009,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,12,00,01
1010,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,11,00,01
1011,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,10,00,01
1012,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,0F,00,01
1013,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,0E,00,01
1014,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,0D,00,01
1015,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,0C,00,01
1016,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,0B,00,01
1017,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,0A,00,01
1018,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,09,00,01
1019,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,08,00,01
1020,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,07,00,01
1021,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,06,00,01
1022,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,05,00,01
1023,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,04,00,01
1024,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,03,00,01
1025,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,02,00,01
1026,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,01,00,01
1027,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,00,00,01
1028,00,00,B0,00,00,00,01,00,00,00,00,00,00,00,00,00,0E,02,00,00
1029,00,00,30,00,00,00,01,00,00,00,00,00,00,00,00,00,0E,02,00,00
1030,00,00,30,00,00,00,01,01,00,00,00,00,00,00,00,00,0E,02,00,00
1031,00,00,30,00,00,00,01,02,00,00,00,00,00,00,00,00,00,00,00,00
1032,10,00,32,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,02,01
1033,10,00,32,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,02,01
1034,10,00,32,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,02,01
1035,10,00,32,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,02,01
1036,10,00,32,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,02,01
1037,10,00,32,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,02,01
1038,10,00,32,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,02,01
1039,11,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1040,11,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1041,12,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1042,12,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1043,13,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1044,13,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1045,14,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1046,14,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1047,15,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1048,15,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1049,16,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1050,16,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1051,17,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1052,17,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1053,18,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1054,18,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1055,19,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1056,19,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1057,1A,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1058,1A,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1059,1B,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1060,1B,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1061,1C,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1062,1C,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1063,1D,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1064,1D,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1065,1E,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1066,1E,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1067,1F,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1068,1F,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1069,20,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1070,20,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1071,21,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1072,21,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1073,22,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1074,22,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1075,23,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1076,23,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1077,24,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1078,24,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1079,25,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1080,25,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1081,26,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1082,26,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1083,27,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1084,27,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1085,28,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1086,28,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1087,29,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1088,29,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1089,2A,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1090,2A,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1091,2B,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1092,2B,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1093,2C,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1094,2C,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1095,2D,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1096,2D,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1097,2E,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1098,2E,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1099,2F,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1100,2F,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1101,30,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1102,30,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1103,31,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1104,31,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1105,32,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1106,32,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1107,33,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1108,33,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1109,34,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1110,34,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1111,35,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1112,35,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1113,36,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1114,36,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1115,37,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1116,37,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1117,38,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1118,38,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1119,39,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1120,39,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1121,3A,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1122,3A,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1123,3B,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1124,3B,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1125,3C,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1126,3C,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1127,3D,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1128,3D,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1129,3E,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1130,3E,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1131,3F,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1132,3F,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1133,40,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1134,40,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1135,41,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1136,41,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1137,42,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1138,42,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1139,43,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1140,43,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1141,44,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1142,44,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1143,45,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1144,45,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1145,46,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1146,46,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1147,47,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1148,47,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1149,48,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1150,48,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1151,49,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1152,49,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1153,4A,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1154,4A,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1155,4B,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1156,4B,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
1157,4C,00,B2,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01
